Sample,KL,Mdists,Zvals,Peak,Correlation
01176.dpt,4.889394989375602,8.992214429314282,25.87900102652764,0.02092929035081475,0.8408045878806304
01182.dpt,25.607563551208266,48.61941909966816,368.2384795447864,0.006248823993636021,0.6291960045476206
01184.dpt,22.98978383439302,45.164879963564225,150.33261847118484,0.011611372905195358,0.7929902377906249
01189.dpt,28.974557636063697,55.71567434343587,281.657337647348,0.008217174268231695,0.6892699325787133
01190.dpt,15.968241320192986,30.711582610624603,65.63939176085307,0.012244511639327361,0.813515418322358
01191.dpt,6.066583355044267,10.821574677321797,48.20201936028177,0.024441150666759184,0.8352602817228719
01092.dpt,15.809986431921796,30.53625374982571,218.7616797669801,0.011845929575634025,0.5820103270450767
01093.dpt,12.27687803429975,22.363825086709447,-149.9566027334677,0.0174789925010116,0.6536895975763375
01094.dpt,7.636269339943468,14.724713395504416,-72.87884323372475,0.025354996183239373,0.7597519044563578
01095.dpt,3.64262206409744,5.675460259387069,-53.93260158094755,0.05014918466346028,0.8268660563729814
01096.dpt,5.264973245889871,8.905289254534555,-5.543694633529993,0.043758515654597034,0.8185647113555533
01097.dpt,4.0055991404164395,6.60061269545161,-41.62532262650506,0.048757426309908744,0.8229141580148999
01098.dpt,4.841230590827567,8.488576473030548,-2.28520790562995,0.0578463136279762,0.8262024504791761
01099.dpt,4.83315097169673,8.460547164853603,26.79014318405865,0.08008181090238187,0.8375997005382515
01101.dpt,2.736347834238265,4.507948986077868,-46.45354419894036,0.08097652909361844,0.8465989704970917
01102.dpt,2.7438004619166145,4.154372488682086,-27.269471822814516,0.08498061103974267,0.8504468785417719
01103.dpt,2.403613638088994,3.6303974031294586,-13.2921510114009,0.11310121678974072,0.8495728652299527
01105.dpt,2.3887781555795105,3.339099597336686,-42.02939474456182,0.11256312165057056,0.851714910358119
01106.dpt,2.3153805568001182,3.2761942203569103,-0.4215762976149269,0.11405966347655616,0.8507668594336579
01107.dpt,1.8684746562004861,2.403021426296174,-32.38969620303961,0.14165515411226057,0.8555822301255094
01108.dpt,1.6436725389172262,2.2746999428806194,-55.78236736887463,0.13157688249429414,0.8565748049397247
01110.dpt,2.202733048343437,3.0433269905015,-31.811424040718812,0.1378078904660604,0.857690213821866
01113.dpt,13.557526478014012,26.317681389405912,-4.019672079864466,0.020021695234134867,0.7021256365045794
01114.dpt,5.658483115083574,9.267765776828538,-7.548593924822679,0.037295032658545155,0.8287366552756398
01115.dpt,3.0190421369444906,4.590345528943927,-85.10767112302885,0.05792354327937894,0.8451242590250327
01116.dpt,2.6068479216519322,3.9624776770655212,-38.979199806154085,0.09261911301484542,0.8489429393667938
01117.dpt,2.1758362328349516,3.0120220146136623,-81.48908322138466,0.08712832779650775,0.8510302572186245
01118.dpt,4.019656877626149,6.977489129211446,95.73488706440807,0.10373953378318285,0.846500528251168
01119.dpt,3.4987996164592734,5.811462998109703,18.43925744391786,0.12498576236008867,0.8530377176538598
